"messier_id","ngc_ic_num","common_name","img-src","object_type","distance_from_earth","constellation","apparent_mag","right_asc","declination"
"M89[106]","NGC 4552","–","//upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Messier89_-_HST_-_Potw1902a.tif/lossy-page1-75px-Messier89_-_HST_-_Potw1902a.tif.jpg","Elliptical galaxy","47,000–53,000","Virgo",10.7,"12h 35m 39.8s","+12° 33′ 23″"
"M90[107]","NGC 4569","–","//upload.wikimedia.org/wikipedia/commons/thumb/4/44/Messier90_-_SDSS_DR14_%28panorama%29.jpg/75px-Messier90_-_SDSS_DR14_%28panorama%29.jpg","Spiral galaxy","55,900–61,500","Virgo",10.3,"12h 36m 49.8s","+13° 09′ 46″"
"M91[108]","NGC 4548","–","//upload.wikimedia.org/wikipedia/commons/thumb/9/9d/M91s.jpg/75px-M91s.jpg","Barred Spiral galaxy","47,000–79,000","Coma Berenices",11,"12h 35m 26.4s","+14° 29′ 47″"
"M92[109]","NGC 6341","–","//upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Globular_Cluster_M92.JPG/75px-Globular_Cluster_M92.JPG","Globular cluster",26.7,"Hercules",6.3,"17h 17m 07.39s","+43° 08′ 09.4″"
"M93[110]","NGC 2447","–","//upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Messier_object_093.jpg/75px-Messier_object_093.jpg","Open cluster",3.6,"Puppis",6,"07h 44.6m","−23° 52′"
"M94[111]","NGC 4736","Croc's Eye or Cat's Eye","//upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Messier_94.jpg/75px-Messier_94.jpg","Spiral galaxy","14,700–17,300","Canes Venatici",9,"12h 50m 53.1s","+41° 07′ 14″"
"M95[112]","NGC 3351","–","//upload.wikimedia.org/wikipedia/commons/thumb/f/fd/The_VLT_goes_lion_hunting.jpg/75px-The_VLT_goes_lion_hunting.jpg","Barred Spiral galaxy","31,200–34,000","Leo",11.4,"10h 43m 57.7s","+11° 42′ 14″"
"M96[113]","NGC 3368","–","//upload.wikimedia.org/wikipedia/commons/thumb/8/80/NGC_3368_ESO.jpg/75px-NGC_3368_ESO.jpg","Spiral galaxy","28,000–34,000","Leo",10.1,"10h 46m 45.7s","+11° 49′ 12″"
"M97[114]","NGC 3587","Owl Nebula","//upload.wikimedia.org/wikipedia/commons/thumb/e/e7/M97-stargazer-obs.jpg/75px-M97-stargazer-obs.jpg","Planetary nebula",2.03,"Ursa Major",9.9,"11h 14m 47.734s","+55° 01′ 08.50″"
"M98[115]","NGC 4192","–","//upload.wikimedia.org/wikipedia/commons/thumb/2/21/M-98.jpg/75px-M-98.jpg","Spiral galaxy",44400,"Coma Berenices",11,"12h 13m 48.292s","+14° 54′ 01.69″"
"M99[116]","NGC 4254","–","//upload.wikimedia.org/wikipedia/commons/thumb/e/eb/M99.jpg/75px-M99.jpg","Spiral galaxy","44,700–55,700","Coma Berenices",10.4,"12h 18m 49.6s","+14° 24′ 59″"
"M100[117]","NGC 4321","–","//upload.wikimedia.org/wikipedia/commons/thumb/9/94/Messier_100_and_Supernova_SN_2006X.jpg/75px-Messier_100_and_Supernova_SN_2006X.jpg","Spiral galaxy",55000,"Coma Berenices",10.1,"12h 22m 54.9s","+15° 49′ 21″"
"M101[118]","NGC 5457","Pinwheel Galaxy","//upload.wikimedia.org/wikipedia/commons/thumb/c/c5/M101_hires_STScI-PRC2006-10a.jpg/75px-M101_hires_STScI-PRC2006-10a.jpg","Spiral galaxy","19,100–22,400","Ursa Major",7.9,"14h 03m 12.6s","+54° 20′ 57″"
"M102[119]","NGC 5866","Spindle Galaxy","//upload.wikimedia.org/wikipedia/commons/thumb/9/91/Ngc5866_hst_big.png/75px-Ngc5866_hst_big.png","Lenticular galaxy",50000,"Draco",10.7,"15h 06m 29.5s","+55° 45′ 48″"
"M103[120]","NGC 581","–","//upload.wikimedia.org/wikipedia/commons/thumb/0/06/Messier_object_103.jpg/75px-Messier_object_103.jpg","Open cluster",10,"Cassiopeia",7.4,"01h 33.2m","+60° 42′"
